,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2015-01-01,2015,1,1,1.1,-6.1,-2.5
1,2015-01-02,2015,1,2,-3.4,-18.2,-10.8
2,2015-01-03,2015,1,3,-18.1,-21.1,-19.6
3,2015-01-04,2015,1,4,-18.4,-25.3,-21.9
4,2015-01-05,2015,1,5,-13.2,-20.1,-16.7
5,2015-01-06,2015,1,6,-13.5,-15.6,-14.6
6,2015-01-07,2015,1,7,8.1,-15.2,-3.6
7,2015-01-08,2015,1,8,-2.2,-19.4,-10.8
8,2015-01-09,2015,1,9,-1.8,-23.8,-12.8
9,2015-01-10,2015,1,10,-1.5,-12.2,-6.9
10,2015-01-11,2015,1,11,-6.5,-19.2,-12.9
11,2015-01-12,2015,1,12,-2.4,-20.8,-11.6
12,2015-01-13,2015,1,13,3.8,-9.9,-3.1
13,2015-01-14,2015,1,14,9.8,-0.5,4.7
14,2015-01-15,2015,1,15,9.2,-1.7,3.8
15,2015-01-16,2015,1,16,6.7,2.2,4.5
16,2015-01-17,2015,1,17,7.6,-0.4,3.6
17,2015-01-18,2015,1,18,6.9,-4.8,1.1
18,2015-01-19,2015,1,19,5.9,1.6,3.8
19,2015-01-20,2015,1,20,3.6,-4.1,-0.3
20,2015-01-21,2015,1,21,8.9,-9.2,-0.2
21,2015-01-22,2015,1,22,9.6,6.1,7.9
22,2015-01-23,2015,1,23,11.8,2.7,7.3
23,2015-01-24,2015,1,24,11.0,2.1,6.6
24,2015-01-25,2015,1,25,17.2,0.6,8.9
25,2015-01-26,2015,1,26,12.3,1.0,6.7
26,2015-01-27,2015,1,27,14.4,-0.7,6.9
27,2015-01-28,2015,1,28,5.6,-2.3,1.7
28,2015-01-29,2015,1,29,7.8,-5.4,1.2
29,2015-01-30,2015,1,30,4.0,-6.4,-1.2
30,2015-01-31,2015,1,31,-5.5,-17.3,-11.4
31,2015-02-01,2015,2,1,-6.5,-17.8,-12.2
32,2015-02-02,2015,2,2,-12.7,-15.3,-14.0
33,2015-02-03,2015,2,3,-11.3,-19.8,-15.6
34,2015-02-04,2015,2,4,5.5,-16.8,-5.7
35,2015-02-05,2015,2,5,0.3,-14.5,-7.1
36,2015-02-06,2015,2,6,-12.1,-15.1,-13.6
37,2015-02-07,2015,2,7,9.6,-15.3,-2.9
38,2015-02-08,2015,2,8,4.1,-15.1,-5.5
39,2015-02-09,2015,2,9,-10.5,-15.4,-13.0
40,2015-02-10,2015,2,10,-6.9,-12.7,-9.8
41,2015-02-11,2015,2,11,-7.1,-11.1,-9.1
42,2015-02-12,2015,2,12,12.7,-7.1,2.8
43,2015-02-13,2015,2,13,14.9,-0.1,7.4
44,2015-02-14,2015,2,14,7.4,-2.2,2.6
45,2015-02-15,2015,2,15,5.2,-2.3,1.5
46,2015-02-16,2015,2,16,2.4,-4.9,-1.3
47,2015-02-17,2015,2,17,0.6,-7.6,-3.5
48,2015-02-18,2015,2,18,7.7,-1.8,3.0
49,2015-02-19,2015,2,19,11.3,-1.5,4.9
50,2015-02-20,2015,2,20,3.7,-5.0,-0.7
51,2015-02-21,2015,2,21,-4.3,-12.4,-8.4
52,2015-02-22,2015,2,22,3.0,-13.4,-5.2
53,2015-02-23,2015,2,23,12.6,-2.7,5.0
54,2015-02-24,2015,2,24,12.0,0.4,6.2
55,2015-02-25,2015,2,25,1.0,-12.7,-5.9
56,2015-02-26,2015,2,26,-8.6,-14.8,-11.7
57,2015-02-27,2015,2,27,-7.3,-11.7,-9.5
58,2015-02-28,2015,2,28,-1.8,-14.7,-8.3
59,2015-03-01,2015,3,1,0.5,-13.2,-6.4
60,2015-03-02,2015,3,2,0.7,-14.2,-6.8
61,2015-03-03,2015,3,3,-7.8,-17.5,-12.7
62,2015-03-04,2015,3,4,2.0,-17.0,-7.5
63,2015-03-05,2015,3,5,10.9,-6.2,2.4
64,2015-03-06,2015,3,6,13.2,-1.7,5.8
65,2015-03-07,2015,3,7,7.3,-6.9,0.2
66,2015-03-08,2015,3,8,14.5,-4.5,5.0
67,2015-03-09,2015,3,9,16.6,1.2,8.9
68,2015-03-10,2015,3,10,11.9,-1.9,5.0
69,2015-03-11,2015,3,11,16.4,-0.2,8.1
70,2015-03-12,2015,3,12,15.5,1.4,8.5
71,2015-03-13,2015,3,13,18.1,3.7,10.9
72,2015-03-14,2015,3,14,16.1,6.5,11.3
73,2015-03-15,2015,3,15,10.2,-2.7,3.8
74,2015-03-16,2015,3,16,1.5,-4.6,-1.6
75,2015-03-17,2015,3,17,2.2,-6.8,-2.3
76,2015-03-18,2015,3,18,11.1,-2.5,4.3
77,2015-03-19,2015,3,19,14.7,-1.8,6.5
78,2015-03-20,2015,3,20,1.6,-3.0,-0.7
79,2015-03-21,2015,3,21,0.4,-3.2,-1.4
80,2015-03-22,2015,3,22,4.2,-5.3,-0.6
81,2015-03-23,2015,3,23,-2.1,-6.1,-4.1
82,2015-03-24,2015,3,24,1.6,-4.0,-1.2
83,2015-03-25,2015,3,25,11.5,-6.2,2.7
84,2015-03-26,2015,3,26,18.3,-0.7,8.8
85,2015-03-27,2015,3,27,21.7,5.3,13.5
86,2015-03-28,2015,3,28,10.5,0.8,5.7
87,2015-03-29,2015,3,29,16.6,-1.1,7.8
88,2015-03-30,2015,3,30,17.6,-0.7,8.5
89,2015-03-31,2015,3,31,17.9,0.7,9.3
90,2015-04-01,2015,4,1,8.9,-0.8,4.1
91,2015-04-02,2015,4,2,11.2,-4.0,3.6
92,2015-04-03,2015,4,3,13.5,-7.5,3.0
93,2015-04-04,2015,4,4,5.0,-6.9,-1.0
94,2015-04-05,2015,4,5,0.8,-5.0,-2.1
95,2015-04-06,2015,4,6,-0.7,-5.1,-2.9
96,2015-04-07,2015,4,7,11.8,-8.6,1.6
97,2015-04-08,2015,4,8,14.7,-7.1,3.8
98,2015-04-09,2015,4,9,18.4,-2.7,7.9
99,2015-04-10,2015,4,10,17.4,-2.5,7.5
100,2015-04-11,2015,4,11,14.4,0.2,7.3
101,2015-04-12,2015,4,12,8.1,-3.6,2.3
102,2015-04-13,2015,4,13,17.5,-6.9,5.3
103,2015-04-14,2015,4,14,13.5,-1.7,5.9
104,2015-04-15,2015,4,15,14.9,-2.7,6.1
105,2015-04-16,2015,4,16,18.3,2.4,10.4
106,2015-04-17,2015,4,17,20.8,0.6,10.7
107,2015-04-18,2015,4,18,12.1,0.4,6.3
108,2015-04-19,2015,4,19,16.1,-5.8,5.2
109,2015-04-20,2015,4,20,20.5,-1.4,9.6
110,2015-04-21,2015,4,21,21.9,7.5,14.7
111,2015-04-22,2015,4,22,22.5,3.6,13.1
112,2015-04-23,2015,4,23,14.6,-1.6,6.5
113,2015-04-24,2015,4,24,13.1,0.7,6.9
114,2015-04-25,2015,4,25,4.9,-1.6,1.7
