,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2016-01-01,2016,1,1,0.3,-4.3,-2.0
1,2016-01-02,2016,1,2,-0.6,-4.7,-2.7
2,2016-01-03,2016,1,3,1.2,-3.7,-1.3
3,2016-01-04,2016,1,4,3.0,-5.3,-1.2
4,2016-01-05,2016,1,5,-5.3,-11.4,-8.4
5,2016-01-06,2016,1,6,-1.3,-10.4,-5.9
6,2016-01-07,2016,1,7,-0.1,-5.2,-2.7
7,2016-01-08,2016,1,8,-5.2,-9.5,-7.4
8,2016-01-09,2016,1,9,-3.3,-7.9,-5.6
9,2016-01-10,2016,1,10,-4.0,-5.5,-4.8
10,2016-01-11,2016,1,11,2.3,-6.0,-1.9
11,2016-01-12,2016,1,12,3.4,-8.4,-2.5
12,2016-01-13,2016,1,13,3.0,-9.1,-3.1
13,2016-01-14,2016,1,14,0.0,-4.0,-2.0
14,2016-01-15,2016,1,15,-2.3,-7.2,-4.8
15,2016-01-16,2016,1,16,-1.4,-6.4,-3.9
16,2016-01-17,2016,1,17,-1.4,-3.7,-2.6
17,2016-01-18,2016,1,18,-1.1,-4.0,-2.6
18,2016-01-19,2016,1,19,0.6,-5.8,-2.6
19,2016-01-20,2016,1,20,-2.1,-6.6,-4.4
20,2016-01-21,2016,1,21,-3.3,-7.6,-5.5
21,2016-01-22,2016,1,22,-3.5,-8.4,-6.0
22,2016-01-23,2016,1,23,-4.1,-6.6,-5.4
23,2016-01-24,2016,1,24,-3.9,-6.7,-5.3
24,2016-01-25,2016,1,25,-4.1,-11.4,-7.8
25,2016-01-26,2016,1,26,5.4,-12.0,-3.3
26,2016-01-27,2016,1,27,6.5,-0.7,2.9
27,2016-01-28,2016,1,28,-0.5,-6.7,-3.6
28,2016-01-29,2016,1,29,-0.3,-6.7,-3.5
29,2016-01-30,2016,1,30,3.3,-6.3,-1.5
30,2016-01-31,2016,1,31,0.5,-8.1,-3.8
31,2016-02-01,2016,2,1,9.1,0.5,4.8
32,2016-02-02,2016,2,2,6.2,-7.5,-0.7
33,2016-02-03,2016,2,3,-5.1,-9.2,-7.2
34,2016-02-04,2016,2,4,8.3,-5.3,1.5
35,2016-02-05,2016,2,5,7.3,0.0,3.7
36,2016-02-06,2016,2,6,12.9,-6.5,3.2
37,2016-02-07,2016,2,7,-1.0,-6.9,-4.0
38,2016-02-08,2016,2,8,-3.6,-7.8,-5.7
39,2016-02-09,2016,2,9,0.8,-3.7,-1.5
40,2016-02-10,2016,2,10,0.6,-2.4,-0.9
41,2016-02-11,2016,2,11,-1.7,-8.1,-4.9
42,2016-02-12,2016,2,12,-1.7,-8.5,-5.1
43,2016-02-13,2016,2,13,-1.1,-9.2,-5.2
44,2016-02-14,2016,2,14,-3.9,-10.6,-7.3
