,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2012-01-01,2012,1,1,,,
1,2012-01-02,2012,1,2,,,
2,2012-01-03,2012,1,3,,,
3,2012-01-04,2012,1,4,,,
4,2012-01-05,2012,1,5,,,
5,2012-01-06,2012,1,6,,,
6,2012-01-07,2012,1,7,,,
7,2012-01-08,2012,1,8,,,
8,2012-01-09,2012,1,9,,,
9,2012-01-10,2012,1,10,,,
10,2012-01-11,2012,1,11,,,
11,2012-01-12,2012,1,12,,,
12,2012-01-13,2012,1,13,,,
13,2012-01-14,2012,1,14,,,
14,2012-01-15,2012,1,15,,,
15,2012-01-16,2012,1,16,,,
16,2012-01-17,2012,1,17,,,
17,2012-01-18,2012,1,18,,,
18,2012-01-19,2012,1,19,,,
19,2012-01-20,2012,1,20,,,
20,2012-01-21,2012,1,21,,,
21,2012-01-22,2012,1,22,,,
22,2012-01-23,2012,1,23,,,
23,2012-01-24,2012,1,24,,,
24,2012-01-25,2012,1,25,,,
25,2012-01-26,2012,1,26,,,
26,2012-01-27,2012,1,27,,,
27,2012-01-28,2012,1,28,,,
28,2012-01-29,2012,1,29,,,
29,2012-01-30,2012,1,30,,,
30,2012-01-31,2012,1,31,,,
31,2012-02-01,2012,2,1,,,
32,2012-02-02,2012,2,2,,,
33,2012-02-03,2012,2,3,,,
34,2012-02-04,2012,2,4,,,
35,2012-02-05,2012,2,5,,,
36,2012-02-06,2012,2,6,,,
37,2012-02-07,2012,2,7,,,
38,2012-02-08,2012,2,8,,,
39,2012-02-09,2012,2,9,,,
40,2012-02-10,2012,2,10,,,
41,2012-02-11,2012,2,11,,,
42,2012-02-12,2012,2,12,,,
43,2012-02-13,2012,2,13,,,
44,2012-02-14,2012,2,14,,,
45,2012-02-15,2012,2,15,,,
46,2012-02-16,2012,2,16,,,
47,2012-02-17,2012,2,17,,,
48,2012-02-18,2012,2,18,,,
49,2012-02-19,2012,2,19,,,
50,2012-02-20,2012,2,20,,,
51,2012-02-21,2012,2,21,,,
52,2012-02-22,2012,2,22,,,
53,2012-02-23,2012,2,23,,,
54,2012-02-24,2012,2,24,,,
55,2012-02-25,2012,2,25,,,
56,2012-02-26,2012,2,26,,,
57,2012-02-27,2012,2,27,,,
58,2012-02-28,2012,2,28,,,
59,2012-02-29,2012,2,29,,,
60,2012-03-01,2012,3,1,,,
61,2012-03-02,2012,3,2,,,
62,2012-03-03,2012,3,3,,,
63,2012-03-04,2012,3,4,,,
64,2012-03-05,2012,3,5,,,
65,2012-03-06,2012,3,6,,,
66,2012-03-07,2012,3,7,,,
67,2012-03-08,2012,3,8,,,
68,2012-03-09,2012,3,9,,,
69,2012-03-10,2012,3,10,,,
70,2012-03-11,2012,3,11,,,
71,2012-03-12,2012,3,12,,,
72,2012-03-13,2012,3,13,,,
73,2012-03-14,2012,3,14,,,
74,2012-03-15,2012,3,15,,,
75,2012-03-16,2012,3,16,,,
76,2012-03-17,2012,3,17,,,
77,2012-03-18,2012,3,18,,,
78,2012-03-19,2012,3,19,,,
79,2012-03-20,2012,3,20,2.8,-6.0,-1.6
80,2012-03-21,2012,3,21,-4.0,-7.7,-5.9
81,2012-03-22,2012,3,22,2.8,-5.2,-1.2
82,2012-03-23,2012,3,23,2.8,-2.8,0.0
83,2012-03-24,2012,3,24,-0.5,-8.0,-4.3
84,2012-03-25,2012,3,25,-1.3,-7.8,-4.6
85,2012-03-26,2012,3,26,3.3,-5.8,-1.3
86,2012-03-27,2012,3,27,8.3,-1.1,3.6
87,2012-03-28,2012,3,28,2.9,-2.5,0.2
88,2012-03-29,2012,3,29,4.8,-2.1,1.4
89,2012-03-30,2012,3,30,1.4,-3.1,-0.9
90,2012-03-31,2012,3,31,-1.9,-3.5,-2.7
91,2012-04-01,2012,4,1,,,
92,2012-04-02,2012,4,2,,,
93,2012-04-03,2012,4,3,,,
94,2012-04-04,2012,4,4,,,
95,2012-04-05,2012,4,5,,,
96,2012-04-06,2012,4,6,6.6,-1.3,2.7
97,2012-04-07,2012,4,7,,,
98,2012-04-08,2012,4,8,,,
99,2012-04-09,2012,4,9,,,
100,2012-04-10,2012,4,10,,,
101,2012-04-11,2012,4,11,,,
102,2012-04-12,2012,4,12,,,
103,2012-04-13,2012,4,13,,,
104,2012-04-14,2012,4,14,,,
105,2012-04-15,2012,4,15,,,
106,2012-04-16,2012,4,16,,,
107,2012-04-17,2012,4,17,,,
108,2012-04-18,2012,4,18,,,
109,2012-04-19,2012,4,19,,,
110,2012-04-20,2012,4,20,,,
111,2012-04-21,2012,4,21,18.1,3.2,10.7
112,2012-04-22,2012,4,22,16.9,4.4,10.7
113,2012-04-23,2012,4,23,9.4,0.5,5.0
114,2012-04-24,2012,4,24,,,
115,2012-04-25,2012,4,25,,,
116,2012-04-26,2012,4,26,,,
117,2012-04-27,2012,4,27,17.2,3.5,10.4
118,2012-04-28,2012,4,28,,,
119,2012-04-29,2012,4,29,,,
120,2012-04-30,2012,4,30,4.4,-2.3,1.1
121,2012-05-01,2012,5,1,5.4,-1.8,1.8
122,2012-05-02,2012,5,2,1.4,-1.8,-0.2
123,2012-05-03,2012,5,3,2.9,-0.6,1.2
124,2012-05-04,2012,5,4,3.7,1.0,2.4
125,2012-05-05,2012,5,5,6.1,1.8,4.0
126,2012-05-06,2012,5,6,5.2,1.7,3.5
127,2012-05-07,2012,5,7,10.8,2.9,6.9
128,2012-05-08,2012,5,8,10.7,2.7,6.7
129,2012-05-09,2012,5,9,13.4,3.5,8.5
130,2012-05-10,2012,5,10,16.7,5.7,11.2
131,2012-05-11,2012,5,11,20.8,5.4,13.1
132,2012-05-12,2012,5,12,18.2,7.6,12.9
133,2012-05-13,2012,5,13,9.1,4.3,6.7
134,2012-05-14,2012,5,14,10.9,1.9,6.4
135,2012-05-15,2012,5,15,19.0,4.6,11.8
136,2012-05-16,2012,5,16,22.1,10.2,16.2
137,2012-05-17,2012,5,17,22.1,11.6,16.9
138,2012-05-18,2012,5,18,16.5,4.7,10.6
139,2012-05-19,2012,5,19,17.5,4.2,10.9
140,2012-05-20,2012,5,20,9.7,-0.2,4.8
141,2012-05-21,2012,5,21,13.7,1.9,7.8
142,2012-05-22,2012,5,22,26.4,7.0,16.7
143,2012-05-23,2012,5,23,21.9,3.4,12.7
144,2012-05-24,2012,5,24,8.2,0.3,4.3
145,2012-05-25,2012,5,25,18.1,2.0,10.1
146,2012-05-26,2012,5,26,19.7,7.3,13.5
147,2012-05-27,2012,5,27,13.7,-0.6,6.6
148,2012-05-28,2012,5,28,7.9,-0.5,3.7
149,2012-05-29,2012,5,29,6.4,-1.5,2.5
150,2012-05-30,2012,5,30,6.1,2.5,4.3
151,2012-05-31,2012,5,31,10.0,3.1,6.6
152,2012-06-01,2012,6,1,10.2,4.2,7.2
153,2012-06-02,2012,6,2,6.0,3.4,4.7
154,2012-06-03,2012,6,3,7.2,3.3,5.3
155,2012-06-04,2012,6,4,5.5,3.2,4.4
156,2012-06-05,2012,6,5,6.1,3.2,4.7
157,2012-06-06,2012,6,6,11.6,4.2,7.9
158,2012-06-07,2012,6,7,9.9,3.0,6.5
159,2012-06-08,2012,6,8,6.3,3.0,4.7
160,2012-06-09,2012,6,9,9.8,2.9,6.4
161,2012-06-10,2012,6,10,10.4,2.7,6.6
162,2012-06-11,2012,6,11,11.9,3.5,7.7
163,2012-06-12,2012,6,12,17.0,2.9,10.0
164,2012-06-13,2012,6,13,23.6,8.4,16.0
165,2012-06-14,2012,6,14,11.9,6.1,9.0
166,2012-06-15,2012,6,15,9.3,5.1,7.2
167,2012-06-16,2012,6,16,9.1,1.1,5.1
168,2012-06-17,2012,6,17,12.5,1.2,6.9
169,2012-06-18,2012,6,18,19.8,5.9,12.9
170,2012-06-19,2012,6,19,20.4,7.7,14.1
171,2012-06-20,2012,6,20,22.0,7.7,14.9
172,2012-06-21,2012,6,21,15.4,7.8,11.6
173,2012-06-22,2012,6,22,12.9,8.0,10.5
174,2012-06-23,2012,6,23,14.6,6.1,10.4
175,2012-06-24,2012,6,24,17.0,5.1,11.1
176,2012-06-25,2012,6,25,15.1,6.2,10.7
177,2012-06-26,2012,6,26,15.5,8.4,12.0
178,2012-06-27,2012,6,27,16.1,8.9,12.5
179,2012-06-28,2012,6,28,19.9,13.2,16.6
180,2012-06-29,2012,6,29,23.5,13.5,18.5
181,2012-06-30,2012,6,30,25.0,13.5,19.3
