,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2015-01-01,2015,1,1,1.4,-5.4,-2.0
1,2015-01-02,2015,1,2,-2.9,-18.5,-10.7
2,2015-01-03,2015,1,3,-18.5,-21.5,-20.0
3,2015-01-04,2015,1,4,-18.4,-25.5,-22.0
4,2015-01-05,2015,1,5,-13.5,-20.7,-17.1
5,2015-01-06,2015,1,6,-13.7,-15.7,-14.7
6,2015-01-07,2015,1,7,5.8,-15.0,-4.6
7,2015-01-08,2015,1,8,-2.5,-19.6,-11.1
8,2015-01-09,2015,1,9,-2.6,-23.6,-13.1
9,2015-01-10,2015,1,10,-2.0,-12.5,-7.3
10,2015-01-11,2015,1,11,-6.4,-19.3,-12.9
11,2015-01-12,2015,1,12,-3.5,-20.6,-12.1
12,2015-01-13,2015,1,13,3.5,-10.7,-3.6
13,2015-01-14,2015,1,14,8.4,0.6,4.5
14,2015-01-15,2015,1,15,8.5,-1.1,3.7
15,2015-01-16,2015,1,16,6.2,1.2,3.7
16,2015-01-17,2015,1,17,7.1,-0.9,3.1
17,2015-01-18,2015,1,18,6.1,-3.9,1.1
18,2015-01-19,2015,1,19,5.2,-0.1,2.6
19,2015-01-20,2015,1,20,3.1,-5.1,-1.0
20,2015-01-21,2015,1,21,7.8,-9.0,-0.6
21,2015-01-22,2015,1,22,8.7,5.3,7.0
22,2015-01-23,2015,1,23,10.9,3.3,7.1
23,2015-01-24,2015,1,24,10.5,1.7,6.1
24,2015-01-25,2015,1,25,16.7,1.4,9.1
25,2015-01-26,2015,1,26,11.8,0.8,6.3
26,2015-01-27,2015,1,27,14.3,-0.8,6.8
27,2015-01-28,2015,1,28,5.6,-2.3,1.7
28,2015-01-29,2015,1,29,7.9,-5.9,1.0
29,2015-01-30,2015,1,30,3.8,-5.8,-1.0
30,2015-01-31,2015,1,31,-5.8,-16.7,-11.3
31,2015-02-01,2015,2,1,-6.0,-17.8,-11.9
32,2015-02-02,2015,2,2,-12.8,-15.5,-14.2
33,2015-02-03,2015,2,3,-11.6,-20.7,-16.2
34,2015-02-04,2015,2,4,4.6,-16.8,-6.1
35,2015-02-05,2015,2,5,0.7,-14.6,-7.0
36,2015-02-06,2015,2,6,-10.7,-15.2,-13.0
37,2015-02-07,2015,2,7,7.5,-16.4,-4.5
38,2015-02-08,2015,2,8,3.2,-15.5,-6.2
39,2015-02-09,2015,2,9,-11.0,-15.4,-13.2
40,2015-02-10,2015,2,10,-7.1,-13.1,-10.1
41,2015-02-11,2015,2,11,-7.2,-11.2,-9.2
42,2015-02-12,2015,2,12,11.4,-7.2,2.1
43,2015-02-13,2015,2,13,14.5,0.3,7.4
44,2015-02-14,2015,2,14,7.3,-2.2,2.6
45,2015-02-15,2015,2,15,4.7,-2.2,1.3
46,2015-02-16,2015,2,16,2.0,-5.2,-1.6
47,2015-02-17,2015,2,17,0.1,-7.0,-3.5
48,2015-02-18,2015,2,18,6.8,-1.5,2.7
49,2015-02-19,2015,2,19,10.8,-1.8,4.5
50,2015-02-20,2015,2,20,3.8,-5.1,-0.7
51,2015-02-21,2015,2,21,-4.6,-12.9,-8.8
52,2015-02-22,2015,2,22,2.8,-13.1,-5.2
53,2015-02-23,2015,2,23,12.7,-2.2,5.3
54,2015-02-24,2015,2,24,11.3,-0.2,5.6
55,2015-02-25,2015,2,25,0.8,-12.9,-6.1
56,2015-02-26,2015,2,26,-8.5,-14.9,-11.7
57,2015-02-27,2015,2,27,-7.5,-12.4,-10.0
58,2015-02-28,2015,2,28,-2.0,-14.5,-8.3
59,2015-03-01,2015,3,1,0.0,-13.0,-6.5
60,2015-03-02,2015,3,2,0.5,-15.0,-7.3
61,2015-03-03,2015,3,3,-8.5,-18.0,-13.3
62,2015-03-04,2015,3,4,1.4,-16.6,-7.6
63,2015-03-05,2015,3,5,11.0,-6.2,2.4
64,2015-03-06,2015,3,6,12.9,-0.6,6.2
65,2015-03-07,2015,3,7,6.7,-7.3,-0.3
66,2015-03-08,2015,3,8,14.4,-2.9,5.8
67,2015-03-09,2015,3,9,16.5,0.5,8.5
68,2015-03-10,2015,3,10,11.2,-0.8,5.2
69,2015-03-11,2015,3,11,16.5,-0.5,8.0
70,2015-03-12,2015,3,12,15.2,2.6,8.9
71,2015-03-13,2015,3,13,17.3,5.0,11.2
72,2015-03-14,2015,3,14,15.9,6.6,11.3
73,2015-03-15,2015,3,15,9.4,-2.9,3.3
74,2015-03-16,2015,3,16,0.6,-4.0,-1.7
75,2015-03-17,2015,3,17,1.8,-6.5,-2.4
76,2015-03-18,2015,3,18,10.8,-2.8,4.0
77,2015-03-19,2015,3,19,14.7,-1.2,6.8
78,2015-03-20,2015,3,20,1.4,-3.5,-1.1
79,2015-03-21,2015,3,21,0.2,-3.5,-1.7
80,2015-03-22,2015,3,22,3.1,-5.8,-1.4
81,2015-03-23,2015,3,23,-2.3,-6.7,-4.5
82,2015-03-24,2015,3,24,1.5,-3.8,-1.2
83,2015-03-25,2015,3,25,11.3,-5.5,2.9
84,2015-03-26,2015,3,26,18.7,-0.3,9.2
85,2015-03-27,2015,3,27,21.7,7.3,14.5
86,2015-03-28,2015,3,28,10.0,0.9,5.5
87,2015-03-29,2015,3,29,16.6,0.3,8.5
88,2015-03-30,2015,3,30,17.5,-0.2,8.7
89,2015-03-31,2015,3,31,18.5,1.5,10.0
90,2015-04-01,2015,4,1,8.7,-0.9,3.9
91,2015-04-02,2015,4,2,7.0,-3.2,1.9
92,2015-04-03,2015,4,3,8.7,-6.2,1.3
93,2015-04-04,2015,4,4,3.7,-6.6,-1.5
94,2015-04-05,2015,4,5,0.1,-5.0,-2.5
95,2015-04-06,2015,4,6,-1.4,-4.2,-2.8
96,2015-04-07,2015,4,7,8.1,-8.5,-0.2
97,2015-04-08,2015,4,8,11.6,-5.1,3.3
98,2015-04-09,2015,4,9,15.1,-0.6,7.3
99,2015-04-10,2015,4,10,16.5,-1.0,7.8
100,2015-04-11,2015,4,11,14.0,-0.2,6.9
101,2015-04-12,2015,4,12,7.8,-1.9,3.0
102,2015-04-13,2015,4,13,14.6,-6.2,4.2
103,2015-04-14,2015,4,14,13.1,-1.2,6.0
104,2015-04-15,2015,4,15,13.7,-3.1,5.3
105,2015-04-16,2015,4,16,17.8,3.1,10.5
106,2015-04-17,2015,4,17,20.7,1.3,11.0
107,2015-04-18,2015,4,18,10.4,0.8,5.6
108,2015-04-19,2015,4,19,12.8,-5.3,3.8
109,2015-04-20,2015,4,20,18.5,-0.1,9.2
110,2015-04-21,2015,4,21,20.1,7.5,13.8
111,2015-04-22,2015,4,22,21.2,3.7,12.5
112,2015-04-23,2015,4,23,12.4,-0.4,6.0
113,2015-04-24,2015,4,24,11.3,0.7,6.0
