,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
0,2013-01-01,2013,1,1,1.2,-8.9,-3.9
1,2013-01-02,2013,1,2,5.8,-10.9,-2.6
2,2013-01-03,2013,1,3,8.8,-8.8,0.0
3,2013-01-04,2013,1,4,2.9,-11.2,-4.2
4,2013-01-05,2013,1,5,4.8,-10.0,-2.6
5,2013-01-06,2013,1,6,,,
6,2013-01-07,2013,1,7,2.4,-9.9,-3.8
7,2013-01-08,2013,1,8,1.3,-3.6,-1.2
8,2013-01-09,2013,1,9,,,
9,2013-01-10,2013,1,10,-5.7,-14.1,-9.9
10,2013-01-11,2013,1,11,-11.6,-19.8,-15.7
11,2013-01-12,2013,1,12,-6.7,-18.8,-12.8
12,2013-01-13,2013,1,13,,,
13,2013-01-14,2013,1,14,,,
14,2013-01-15,2013,1,15,8.0,1.3,4.7
15,2013-01-16,2013,1,16,7.3,-4.6,1.4
16,2013-01-17,2013,1,17,9.4,-6.4,1.5
17,2013-01-18,2013,1,18,7.9,-2.8,2.6
18,2013-01-19,2013,1,19,,,
19,2013-01-20,2013,1,20,,,
20,2013-01-21,2013,1,21,,,
21,2013-01-22,2013,1,22,,,
22,2013-01-23,2013,1,23,,,
23,2013-01-24,2013,1,24,3.1,-13.4,-5.2
24,2013-01-25,2013,1,25,5.6,-6.1,-0.3
25,2013-01-26,2013,1,26,-0.4,-11.5,-6.0
26,2013-01-27,2013,1,27,2.0,-10.7,-4.4
27,2013-01-28,2013,1,28,,,
28,2013-01-29,2013,1,29,-11.9,-24.0,-18.0
29,2013-01-30,2013,1,30,-7.8,-19.9,-13.9
30,2013-01-31,2013,1,31,0.8,-17.7,-8.5
31,2013-02-01,2013,2,1,7.7,-4.7,1.5
32,2013-02-02,2013,2,2,8.5,-7.2,0.7
33,2013-02-03,2013,2,3,,,
34,2013-02-04,2013,2,4,,,
35,2013-02-05,2013,2,5,,,
36,2013-02-06,2013,2,6,6.6,-5.9,0.4
37,2013-02-07,2013,2,7,5.6,-5.1,0.3
38,2013-02-08,2013,2,8,5.4,-5.4,0.0
39,2013-02-09,2013,2,9,,,
40,2013-02-10,2013,2,10,-1.0,-7.8,-4.4
41,2013-02-11,2013,2,11,,,
42,2013-02-12,2013,2,12,,,
43,2013-02-13,2013,2,13,,,
44,2013-02-14,2013,2,14,2.2,-9.6,-3.7
45,2013-02-15,2013,2,15,11.3,-7.8,1.8
46,2013-02-16,2013,2,16,,,
47,2013-02-17,2013,2,17,0.3,-7.8,-3.8
48,2013-02-18,2013,2,18,,,
49,2013-02-19,2013,2,19,,,
50,2013-02-20,2013,2,20,,,
51,2013-02-21,2013,2,21,1.6,-13.1,-5.8
52,2013-02-22,2013,2,22,5.3,-7.3,-1.0
53,2013-02-23,2013,2,23,,,
54,2013-02-24,2013,2,24,,,
55,2013-02-25,2013,2,25,,,
56,2013-02-26,2013,2,26,-3.4,-8.2,-5.8
57,2013-02-27,2013,2,27,4.9,-7.5,-1.3
58,2013-02-28,2013,2,28,6.4,-5.1,0.7
59,2013-03-01,2013,3,1,10.7,-2.5,4.1
60,2013-03-02,2013,3,2,,,
61,2013-03-03,2013,3,3,-3.8,-5.7,-4.8
62,2013-03-04,2013,3,4,-5.1,-10.5,-7.8
63,2013-03-05,2013,3,5,-6.8,-12.0,-9.4
64,2013-03-06,2013,3,6,-6.4,-10.2,-8.3
65,2013-03-07,2013,3,7,-7.4,-13.0,-10.2
66,2013-03-08,2013,3,8,0.5,-12.4,-6.0
67,2013-03-09,2013,3,9,,,
68,2013-03-10,2013,3,10,,,
69,2013-03-11,2013,3,11,-0.7,-5.4,-3.1
70,2013-03-12,2013,3,12,4.8,-6.8,-1.0
71,2013-03-13,2013,3,13,,,
72,2013-03-14,2013,3,14,,,
73,2013-03-15,2013,3,15,-6.9,-13.8,-10.4
74,2013-03-16,2013,3,16,-8.6,-12.8,-10.7
75,2013-03-17,2013,3,17,-10.6,-15.0,-12.8
76,2013-03-18,2013,3,18,-2.6,-15.3,-9.0
77,2013-03-19,2013,3,19,2.2,-13.1,-5.5
78,2013-03-20,2013,3,20,13.9,-3.7,5.1
79,2013-03-21,2013,3,21,,,
80,2013-03-22,2013,3,22,-3.7,-11.3,-7.5
81,2013-03-23,2013,3,23,-3.4,-12.8,-8.1
82,2013-03-24,2013,3,24,0.0,-12.8,-6.4
83,2013-03-25,2013,3,25,5.0,-8.2,-1.6
84,2013-03-26,2013,3,26,,,
85,2013-03-27,2013,3,27,,,
86,2013-03-28,2013,3,28,,,
87,2013-03-29,2013,3,29,,,
88,2013-03-30,2013,3,30,10.8,-1.4,4.7
89,2013-03-31,2013,3,31,,,
90,2013-04-01,2013,4,1,10.4,-4.6,2.9
91,2013-04-02,2013,4,2,19.2,-3.7,7.8
92,2013-04-03,2013,4,3,,,
93,2013-04-04,2013,4,4,6.4,-2.3,2.1
94,2013-04-05,2013,4,5,5.6,-3.3,1.2
95,2013-04-06,2013,4,6,,,
96,2013-04-07,2013,4,7,-1.9,-6.6,-4.3
97,2013-04-08,2013,4,8,,,
98,2013-04-09,2013,4,9,,,
99,2013-04-10,2013,4,10,10.4,-2.7,3.9
100,2013-04-11,2013,4,11,4.1,-1.5,1.3
101,2013-04-12,2013,4,12,5.9,-7.2,-0.7
102,2013-04-13,2013,4,13,,,
103,2013-04-14,2013,4,14,,,
104,2013-04-15,2013,4,15,-2.8,-8.8,-5.8
105,2013-04-16,2013,4,16,0.6,-6.9,-3.2
106,2013-04-17,2013,4,17,6.4,-10.0,-1.8
107,2013-04-18,2013,4,18,9.3,-2.2,3.6
108,2013-04-19,2013,4,19,,,
109,2013-04-20,2013,4,20,,,
110,2013-04-21,2013,4,21,,,
111,2013-04-22,2013,4,22,8.9,-8.4,0.3
112,2013-04-23,2013,4,23,8.3,-4.2,2.1
113,2013-04-24,2013,4,24,13.9,-3.1,5.4
114,2013-04-25,2013,4,25,17.9,2.9,10.4
115,2013-04-26,2013,4,26,,,
116,2013-04-27,2013,4,27,,,
117,2013-04-28,2013,4,28,16.5,2.3,9.4
118,2013-04-29,2013,4,29,,,
119,2013-04-30,2013,4,30,,,
120,2013-05-01,2013,5,1,10.9,-8.3,1.3
121,2013-05-02,2013,5,2,19.0,0.0,9.5
122,2013-05-03,2013,5,3,,,
123,2013-05-04,2013,5,4,18.8,2.6,10.7
124,2013-05-05,2013,5,5,23.4,3.0,13.2
125,2013-05-06,2013,5,6,27.3,5.8,16.6
126,2013-05-07,2013,5,7,16.0,7.4,11.7
127,2013-05-08,2013,5,8,21.1,4.4,12.8
128,2013-05-09,2013,5,9,26.3,5.3,15.8
129,2013-05-10,2013,5,10,,,
130,2013-05-11,2013,5,11,27.4,5.3,16.4
131,2013-05-12,2013,5,12,28.6,14.0,21.3
132,2013-05-13,2013,5,13,21.6,10.3,16.0
133,2013-05-14,2013,5,14,15.2,7.4,11.3
134,2013-05-15,2013,5,15,25.4,6.0,15.7
135,2013-05-16,2013,5,16,,,
136,2013-05-17,2013,5,17,17.2,1.0,9.1
137,2013-05-18,2013,5,18,20.9,1.7,11.3
138,2013-05-19,2013,5,19,16.2,7.5,11.9
139,2013-05-20,2013,5,20,20.1,3.3,11.7
140,2013-05-21,2013,5,21,22.4,5.9,14.2
141,2013-05-22,2013,5,22,,,
142,2013-05-23,2013,5,23,14.1,6.4,10.3
143,2013-05-24,2013,5,24,8.0,4.1,6.1
144,2013-05-25,2013,5,25,14.9,3.8,9.4
145,2013-05-26,2013,5,26,17.9,1.9,9.9
146,2013-05-27,2013,5,27,19.2,4.6,11.9
147,2013-05-28,2013,5,28,17.2,7.9,12.6
148,2013-05-29,2013,5,29,16.6,8.5,12.6
